RECORDED=2021-01-07--11:47:21
radicl VERSION=0.4.2
FIRMWARE REVISION=1.45
HARDWARE REVISION=2
MODEL NUMBER=3
,Sensor1,Sensor2,Sensor3,Sensor4,acc,depth
69,2643,5,989,4,0.24048,-29.08935546875
70,2645,4,990,2,0.32808,-29.00390625
71,2652,5,992,4,0.42054,-29.01611328125
72,2655,5,990,4,0.48234,-28.94287109375
73,2647,4,992,4,0.5124,-28.84521484375
74,2641,4,986,5,0.5540999999999999,-28.7109375
75,2638,5,988,4,0.56082,-28.57666015625
76,2658,4,994,4,0.5334599999999999,-28.369140625
77,2645,4,990,4,0.49385999999999997,-28.25927734375
78,2620,5,979,4,0.43673999999999996,-28.47900390625
79,2657,4,996,3,0.34386,-28.69873046875
80,2641,5,988,3,0.22848,-28.86962890625
81,2657,4,994,0,0.07332,-29.04052734375
82,2639,4,988,3,-0.11507999999999999,-29.248046875
83,2651,3,997,4,-0.3045,-29.55322265625
84,2645,4,991,4,-0.54132,-29.6875
85,2616,5,982,3,-0.81954,-29.6142578125
86,2656,5,995,3,-1.13334,-29.5166015625
87,2643,4,991,4,-1.4627999999999999,-29.47998046875
88,2633,4,989,4,-1.80084,-29.45556640625
89,2618,6,983,4,-1.9655999999999998,-29.248046875
90,2612,5,977,4,-1.9655999999999998,-29.0283203125
91,2670,6,987,4,-1.9655999999999998,-28.80859375
92,2667,5,999,4,-1.9655999999999998,-28.4912109375
93,2663,5,996,6,-1.9655999999999998,-28.2470703125
94,2663,6,999,4,-1.9655999999999998,-28.11279296875
95,2654,5,994,4,-1.9655999999999998,-28.01513671875
96,2654,4,994,4,-1.9655999999999998,-27.91748046875
97,2653,4,987,4,-1.9655999999999998,-27.91748046875
98,2647,5,988,4,-1.9655999999999998,-27.83203125
99,2644,5,989,4,-1.9655999999999998,-27.55126953125
100,2645,4,990,4,-1.9655999999999998,-27.13623046875
101,2645,5,991,4,-1.9376399999999998,-26.904296875
102,2643,6,990,4,-1.75122,-26.6845703125
103,2645,4,991,3,-1.54926,-26.28173828125
104,2647,5,989,3,-1.3679999999999999,-26.03759765625
105,2642,4,990,4,-1.17696,-25.79345703125
106,2646,4,990,3,-0.7977,-25.4150390625
107,2646,5,991,4,-1.03176,-25.28076171875
108,2647,5,992,4,-0.68382,-24.91455078125
109,2643,4,991,4,-0.6325799999999999,-24.609375
110,2648,6,990,4,-0.33516,-24.45068359375
111,2646,6,992,5,-0.19908,-24.2919921875
112,2648,4,990,4,-0.0384,-24.2431640625
113,2648,4,990,4,0.17076,-24.2431640625
114,2648,5,991,4,0.26988,-24.1943359375
115,2647,5,991,4,0.34086,-24.06005859375
116,2647,4,991,4,0.44021999999999994,-23.9501953125
117,2645,5,990,4,0.4918199999999999,-24.0234375
118,2648,6,991,6,0.48251999999999995,-23.9501953125
119,2645,5,989,4,0.519,-23.88916015625
120,2648,4,987,4,0.52728,-23.73046875
121,2646,4,992,4,0.47819999999999996,-23.6572265625
122,2648,4,990,5,0.41268,-23.73046875
123,2644,4,991,4,0.30036,-23.876953125
124,2645,5,990,4,0.15683999999999998,-23.9990234375
125,2645,4,989,4,-0.0225,-24.15771484375
126,2646,4,989,4,-0.23478,-24.4384765625
127,2644,5,991,4,-0.49445999999999996,-24.76806640625
128,2645,5,990,3,-0.7752,-25.20751953125
129,2647,4,990,4,-1.07046,-25.76904296875
130,2646,4,991,4,-1.37256,-26.3427734375
131,2646,5,992,4,-1.6351799999999999,-26.8798828125
132,2645,5,990,4,-1.88388,-27.50244140625
133,2648,4,990,4,-1.9655999999999998,-28.1494140625
134,2645,4,990,3,-1.9655999999999998,-28.662109375
135,2643,3,991,1,-1.9655999999999998,-29.13818359375
136,2647,4,989,4,-1.9655999999999998,-29.5654296875
137,2646,4,990,4,-1.9655999999999998,-30.11474609375
138,2649,5,989,4,-1.9655999999999998,-30.60302734375
139,2651,5,991,5,-1.9655999999999998,-30.99365234375
140,2649,5,989,4,-1.9655999999999998,-31.43310546875
141,2650,5,990,5,-1.9655999999999998,-31.77490234375
142,2647,4,989,4,-1.9576200000000001,-31.9580078125
143,2647,5,989,4,-1.86456,-32.12890625
144,2647,4,989,4,-1.7347199999999998,-32.14111328125
145,2648,5,988,4,-1.58994,-32.21435546875
146,2647,4,989,4,-1.3635599999999999,-32.21435546875
147,2645,5,990,4,-1.40964,-32.14111328125
148,2647,4,989,2,-1.2933,-32.06787109375
149,2648,5,990,4,-1.18728,-31.884765625
150,2644,5,989,3,-1.05024,-31.60400390625
151,2647,4,990,4,-0.93102,-31.31103515625
152,2646,5,988,4,-0.8093400000000001,-30.94482421875
153,2647,5,991,3,-0.6735,-30.46875
154,2645,4,989,3,-0.53304,-29.78515625
155,2646,5,989,4,-0.37626,-29.150390625
156,2646,5,989,4,-0.2241,-28.43017578125
157,2646,4,992,3,-0.07769999999999999,-27.60009765625
158,2649,4,990,6,0.0366,-26.7333984375
159,2648,4,990,4,0.12018000000000001,-25.93994140625
160,2645,5,989,3,0.16152,-25.0
161,2646,6,991,4,0.18552,-24.08447265625
162,2648,4,990,4,0.19631999999999997,-23.095703125
163,2648,4,991,3,0.19169999999999998,-22.08251953125
164,2647,4,990,6,0.18558,-21.03271484375
165,2648,4,991,4,0.16193999999999997,-19.88525390625
166,2643,4,988,4,0.11196,-18.7255859375
167,2647,4,989,4,0.023880000000000002,-17.54150390625
168,2647,5,989,4,-0.057179999999999995,-16.30859375
169,2648,5,991,4,-0.15522,-15.00244140625
170,2646,4,989,3,-0.26898,-13.56201171875
171,2647,5,991,4,-0.36738,-12.24365234375
172,2649,4,990,4,-0.46146,-10.99853515625
173,2642,4,990,4,-0.57138,-9.912109375
174,2645,4,988,4,-0.6641400000000001,-8.87451171875
175,2643,5,993,4,-0.7571399999999999,-7.71484375
176,2648,4,990,5,-0.8415,-6.67724609375
177,2646,6,991,4,-0.8826,-5.712890625
178,2645,4,990,4,-0.9003599999999999,-4.91943359375
179,2648,5,990,4,-0.9177599999999999,-4.248046875
180,2646,4,991,4,-0.92772,-3.62548828125
181,2647,5,990,3,-0.9269999999999999,-2.978515625
182,2647,5,991,4,-0.94788,-2.42919921875
183,2650,5,991,3,-0.9898199999999999,-1.9775390625
184,2646,5,990,3,-1.07904,-1.52587890625
185,2652,5,991,4,-1.23054,-1.07421875
186,2643,4,989,3,-1.5614999999999999,-0.72021484375
187,2649,4,990,3,-1.9620000000000002,-0.439453125
188,2647,5,989,4,-1.9655999999999998,-0.15869140625
189,2648,5,990,3,-1.9655999999999998,-0.03662109375
190,2647,6,990,3,-1.9655999999999998,0.0
191,2648,4,991,4,-1.96098,-0.03662109375
192,2649,5,990,4,-1.9289399999999999,-0.2197265625
193,2647,5,991,4,-1.9655999999999998,-0.5126953125
194,2648,4,991,3,-1.9655999999999998,-0.57373046875
195,2647,5,990,4,-1.9655999999999998,-0.68359375
196,2647,5,991,4,-1.9655399999999998,-0.76904296875
197,2648,4,990,4,-1.93242,-0.8544921875
198,2646,5,990,3,-1.88034,-0.91552734375
199,2645,6,991,5,-1.82022,-1.0986328125
200,2647,5,990,3,-1.7880599999999998,-1.26953125
201,2649,6,992,4,-1.72128,-1.46484375
202,2647,6,991,4,-1.75662,-1.6357421875
203,2647,4,992,4,-1.7193599999999998,-1.85546875
204,2649,4,991,4,-1.69878,-2.05078125
205,2647,4,991,4,-1.6584599999999998,-2.3193359375
206,2648,5,990,4,-1.6385999999999998,-2.64892578125
207,2644,4,990,3,-1.61496,-3.13720703125
208,2648,5,990,4,-1.56408,-3.5888671875
209,2647,5,990,4,-1.51932,-4.052734375
210,2652,6,990,5,-1.46394,-4.35791015625
211,2648,5,990,3,-1.4014199999999999,-4.6630859375
212,2648,6,991,4,-1.3716,-5.1025390625
213,2646,5,990,4,-1.3481999999999998,-5.55419921875
214,2647,5,990,4,-1.32756,-5.95703125
215,2650,5,991,3,-1.3228199999999999,-6.1279296875
216,2647,5,988,4,-1.30224,-6.28662109375
217,2650,5,990,2,-1.27536,-6.4453125
218,2648,5,989,3,-1.21044,-6.884765625
219,2647,4,991,4,-1.1603999999999999,-7.18994140625
220,2648,5,990,4,-1.1154,-7.50732421875
221,2648,5,991,4,-1.06002,-7.82470703125
222,2648,4,990,4,-1.0384799999999998,-8.33740234375
223,2644,5,991,3,-1.01322,-8.7646484375
224,2645,5,989,4,-0.9794999999999999,-9.33837890625
225,2645,4,991,4,-0.9558599999999999,-10.14404296875
226,2645,5,990,4,-0.91386,-10.58349609375
227,2647,5,991,4,-0.86844,-10.97412109375
228,2647,5,990,4,-0.80574,-12.19482421875
229,2648,5,991,4,-0.7394999999999999,-12.87841796875
230,2643,6,989,5,-0.67458,
231,2646,4,991,4,-0.54648,
232,2647,5,992,5,-0.44382,
233,2646,5,991,4,-0.37764,
234,2648,4,990,4,-0.2976,
235,2647,4,989,4,-0.24642,
236,2651,5,990,4,-0.18389999999999998,
237,2647,4,990,4,-0.1221,
238,2647,7,990,5,-0.07848,
239,2648,4,991,4,-0.03882,
240,2646,6,990,4,0.00924,
241,2646,5,989,4,0.043859999999999996,
242,2650,5,991,3,0.08172,
243,2646,5,989,4,0.11339999999999999,
244,2645,5,991,4,0.13254,
245,2645,4,990,4,0.13793999999999998,
246,2647,6,990,5,0.1311,
247,2644,5,989,4,0.09713999999999999,
248,2646,6,991,4,0.06815999999999998,
249,2648,5,990,4,0.04644,
250,2645,6,991,4,0.012,
251,2644,4,992,4,-0.01128,
252,2646,4,992,4,-0.03264,
253,2645,5,991,4,-0.07302,
254,2645,6,993,5,-0.10206,
255,2646,4,990,4,-0.15498,
256,2649,4,992,3,-0.20778,
257,2648,5,989,4,-0.22956,
258,2648,4,990,4,-0.26598,
259,2647,5,991,4,-0.31326,
260,2648,5,990,6,-0.32814,
261,2645,4,990,3,-0.34722,
262,2643,4,990,4,-0.39546,
263,2645,5,993,6,-0.45011999999999996,
264,2647,5,990,4,-0.52518,
265,2646,6,990,5,-0.5901000000000001,
266,2646,5,990,3,-0.6355799999999999,
267,2646,2,990,4,-0.67728,
268,2645,4,989,3,-0.7059,
269,2646,5,991,4,-0.7167,
270,2647,5,990,4,-0.7635,
271,2648,6,991,5,-0.8640599999999999,
272,2644,5,991,3,-0.9507599999999999,
273,2647,6,990,4,-0.9582,
274,2643,4,991,4,-0.9822000000000001,
275,2646,5,990,4,-1.0172999999999999,
276,2643,5,989,4,-1.02246,
277,2646,4,991,3,-1.0689,
278,2648,4,991,4,-1.10808,
279,2647,4,992,6,-1.12764,
280,2646,6,989,3,-1.1531999999999998,
281,2647,6,992,4,-1.20858,
282,2643,5,990,3,-1.21176,
283,2647,5,989,0,-1.22502,
284,2646,5,990,2,-1.26084,
285,2646,5,991,4,-1.3114199999999998,
286,2645,5,990,4,-1.38804,
287,2646,4,990,4,-1.5411,
288,2645,4,991,6,-1.71138,
289,2649,5,991,3,-1.82208,
290,2643,4,991,4,-1.9240199999999998,
291,2645,5,990,3,-1.9655999999999998,
292,2646,4,989,4,-1.9546199999999998,
293,2645,4,989,4,-1.87386,
294,2642,4,989,3,-1.80444,
295,2645,4,989,4,-1.71684,
296,2643,6,992,6,-1.6631999999999998,
297,2647,4,989,4,-1.60272,
298,2642,5,990,4,-1.5417,
299,2645,5,990,3,-1.4692199999999997,
300,2646,5,992,4,-1.4035199999999999,
301,2645,4,991,4,-1.31262,
302,2644,4,990,4,-1.21716,
303,2647,5,990,4,-1.1277000000000001,
304,2645,6,992,5,-1.06974,
305,2645,5,991,4,-1.0107599999999999,
306,2646,6,990,4,-0.96372,
307,2647,5,990,4,-0.92376,
308,2646,4,989,4,-0.8802599999999999,
309,2645,4,991,3,-0.8588999999999999,
310,2642,5,989,4,-0.8518199999999999,
311,2648,5,991,4,-0.86646,
312,2644,6,990,4,,
313,2645,4,990,4,,
314,2642,5,989,4,,
315,2646,4,990,4,,
316,2643,5,990,2,,
317,2648,4,990,3,,
318,2643,5,988,4,,
319,2644,4,990,4,,
320,2643,5,991,4,,
321,2646,5,989,4,,
322,2642,5,991,6,,
323,2644,4,992,6,,
324,2643,4,990,4,,
325,2650,5,989,4,,
326,2643,4,989,4,,
327,2646,4,989,4,,
328,2643,4,991,4,,
329,2644,4,989,4,,
330,2644,4,989,3,,
331,2649,6,992,5,,
332,2644,5,989,3,,
333,2646,6,991,4,,
334,2639,5,989,3,,
335,2647,5,988,4,,
336,2641,4,989,4,,
337,2646,6,990,4,,
338,2644,4,991,4,,
339,2646,4,989,4,,
340,2643,4,989,4,,
341,2647,4,992,0,,
342,2642,6,990,3,,
343,2645,6,993,5,,
344,2641,4,991,3,,
345,2648,6,994,5,,
346,2643,5,990,3,,
347,2644,5,989,4,,
348,2643,5,991,4,,
349,2647,4,992,4,,
350,2643,4,989,4,,
351,2649,5,991,5,,
352,2643,4,989,3,,
353,2645,4,991,3,,
354,2641,5,990,4,,
355,2647,4,991,3,,
356,2643,5,991,4,,
357,2648,5,990,5,,
358,2643,4,989,3,,
359,2646,5,993,4,,
360,2643,4,989,4,,
361,2647,5,991,3,,
362,2643,4,989,3,,
363,2646,5,989,4,,
364,2643,4,991,4,,
365,2647,6,992,5,,
366,2641,5,990,4,,
367,2646,6,991,6,,
368,2640,4,991,4,,
369,2646,4,991,3,,
370,2642,4,990,2,,
371,2646,4,991,3,,
372,2644,5,990,4,,
373,2648,6,992,5,,
374,2644,5,990,4,,
375,2647,5,988,4,,
376,2643,5,990,4,,
377,2648,5,990,3,,
378,2646,4,989,3,,
379,2647,4,991,4,,
380,2645,5,988,4,,
381,2647,6,990,5,,
382,2645,5,989,4,,
383,2646,6,990,4,,
384,2646,4,989,3,,
385,2646,4,991,6,,
386,2647,4,990,4,,
387,2649,5,990,4,,
388,2646,4,989,4,,
389,2647,5,990,4,,
390,2641,5,990,4,,
391,2645,4,990,3,,
392,2646,6,990,4,,
393,2645,5,988,4,,
394,2644,5,990,4,,
395,2646,5,989,4,,
396,2645,4,991,4,,
397,2646,5,991,4,,
398,2647,6,991,5,,
399,2652,6,990,4,,
400,2648,5,989,5,,
401,2645,4,990,4,,
402,2644,5,990,4,,
403,2647,4,990,3,,
404,2646,5,989,3,,
405,2649,4,990,4,,
406,2646,6,991,5,,
407,2649,5,991,3,,
408,2646,5,990,4,,
409,2648,5,989,4,,
410,2647,5,989,4,,
411,2649,4,989,4,,
412,2644,5,989,4,,
413,2648,5,989,2,,
414,2646,5,991,4,,
415,2645,4,990,4,,
416,2645,5,990,4,,
417,2648,5,989,4,,
418,2645,4,991,4,,
419,2647,4,992,3,,
420,2646,4,991,3,,
421,2645,5,991,4,,
422,2645,5,989,4,,
423,2646,5,991,4,,
424,2647,6,991,4,,
425,2649,5,991,4,,
426,2650,5,990,4,,
427,2648,5,990,0,,
428,2647,5,989,4,,
429,2646,5,990,4,,
430,2647,6,990,4,,
431,2645,5,988,4,,
432,2650,5,991,3,,
433,2646,5,990,4,,
434,2642,5,990,4,,
435,2648,4,991,3,,
436,2644,5,991,4,,
437,2646,4,990,6,,
438,2649,6,991,4,,
439,2645,4,989,4,,
440,2646,6,990,4,,
441,2646,4,990,3,,
442,2647,5,990,4,,
443,2646,5,990,4,,
444,2645,4,989,4,,
445,2648,6,992,5,,
446,2648,4,991,4,,
447,2648,5,990,3,,
448,2647,5,990,3,,
449,2646,4,990,1,,
450,2646,5,989,3,,
451,2647,5,991,4,,
452,2649,5,988,4,,
453,2647,4,991,3,,
454,2646,6,990,3,,
455,2646,5,989,4,,
456,2649,6,990,4,,
457,2649,5,989,4,,
458,2647,5,990,4,,
459,2645,4,989,4,,
460,2647,5,990,4,,
461,2648,3,991,4,,
462,2645,5,990,4,,
463,2644,5,990,3,,
464,2647,6,990,5,,
465,2645,5,991,4,,
466,2646,6,991,4,,
467,2646,4,991,4,,
468,2646,5,990,4,,
469,2646,4,991,4,,
470,2645,4,992,4,,
471,2648,4,991,4,,
472,2648,6,992,6,,
473,2647,5,989,4,,
474,2648,5,990,4,,
475,2649,4,990,4,,
476,2648,5,991,4,,
477,2643,5,989,4,,
478,2646,4,991,3,,
479,2647,4,990,4,,
480,2650,4,991,3,,
481,2647,6,991,5,,
482,2646,5,990,4,,
483,2647,5,990,4,,
484,2646,4,990,4,,
485,2646,5,990,4,,
486,2645,4,990,4,,
487,2645,4,991,4,,
488,2649,7,991,5,,
489,2646,5,991,3,,
490,2643,5,989,4,,
491,2646,5,992,4,,
492,2644,5,991,3,,
493,2646,4,989,3,,
494,2648,5,989,4,,
495,2647,4,992,3,,
496,2646,5,990,4,,
497,2646,9,991,3,,
498,2643,4,989,3,,
499,2651,6,990,5,,
500,2646,5,990,4,,
501,2643,3,991,4,,
502,2644,4,989,3,,
503,2645,4,989,4,,
504,2645,5,989,4,,
505,2647,4,992,4,,
506,2645,5,989,4,,
507,2646,6,990,5,,
508,2645,5,991,4,,
509,2647,5,991,4,,
510,2643,4,991,3,,
511,2644,4,991,4,,
512,2647,5,990,4,,
513,2644,4,990,4,,
514,2646,5,991,6,,
515,2647,5,990,4,,
516,2647,5,991,3,,
517,2646,5,991,3,,
518,2639,5,989,3,,
519,2646,5,991,4,,
520,2644,5,991,3,,
521,2646,5,990,4,,
522,2646,5,990,4,,
523,2645,5,991,4,,
524,2644,4,990,3,,
525,2645,6,991,1,,
526,2645,4,991,4,,
527,2647,4,990,5,,
528,2643,4,990,3,,
529,2648,5,988,4,,
530,2643,4,987,4,,
531,2644,4,990,4,,
532,2644,7,991,5,,
533,2644,5,991,4,,
534,2648,5,990,5,,
535,2646,5,990,4,,
536,2646,5,990,4,,
537,2646,5,991,4,,
538,2643,5,991,4,,
539,2645,4,991,4,,
540,2647,6,992,5,,
541,2644,5,990,4,,
542,2646,5,992,4,,
543,2645,4,991,3,,
544,2645,5,991,3,,
545,2648,5,990,5,,
546,2645,5,990,4,,
547,2649,4,990,4,,
548,2645,5,991,4,,
549,2643,4,991,4,,
550,2645,5,989,4,,
551,2645,6,988,4,,
552,2644,4,989,3,,
553,2649,6,990,0,,
554,2646,4,989,3,,
555,2646,6,991,4,,
556,2643,5,990,2,,
557,2646,4,990,4,,
558,2643,4,990,4,,
559,2646,5,990,4,,
560,2641,5,990,4,,
561,2645,6,994,5,,
562,2645,5,991,3,,
563,2646,5,991,4,,
564,2646,4,990,4,,
565,2644,6,989,4,,
566,2642,4,991,3,,
567,2647,4,991,4,,
568,2644,5,990,4,,
569,2649,6,991,5,,
570,2645,4,989,4,,
571,2646,6,991,5,,
572,2644,5,990,3,,
573,2648,4,990,4,,
574,2648,5,990,4,,
575,2647,5,989,4,,
576,2647,3,988,4,,
577,2645,5,989,6,,
578,2645,5,991,4,,
579,2644,5,989,4,,
580,2643,4,989,4,,
581,2646,4,990,3,,
582,2642,5,989,4,,
583,2643,5,990,4,,
584,2642,5,989,4,,
585,2642,4,991,4,,
586,2645,6,990,5,,
587,2645,4,990,3,,
588,2644,6,990,4,,
589,2645,5,990,4,,
590,2643,5,990,4,,
591,2645,5,989,3,,
592,2640,4,992,4,,
593,2646,4,990,4,,
594,2645,6,989,5,,
595,2647,4,989,4,,
596,2646,6,990,5,,
597,2646,4,990,4,,
598,2646,5,989,4,,
599,2645,4,987,4,,
600,2647,4,989,4,,
601,2645,5,989,4,,
602,2649,6,992,5,,
603,2647,4,989,3,,
604,2645,4,989,4,,
605,2648,5,989,2,,
606,2647,6,992,5,,
607,2644,5,989,4,,
608,2646,5,990,4,,
609,2646,4,991,4,,
610,2643,4,991,4,,
611,2645,4,989,4,,
612,2643,4,989,4,,
613,2642,4,989,3,,
614,2640,5,988,4,,
615,2647,4,989,4,,
616,2648,5,990,4,,
617,2658,4,995,4,,
618,2635,5,985,4,,
619,2644,4,989,3,,
620,2645,6,991,5,,
621,2648,5,989,4,,
622,2644,6,990,4,,
623,2659,4,993,3,,
624,2635,5,984,3,,
625,2651,5,992,4,,
626,2644,4,988,4,,
627,2643,4,987,3,,
628,2645,6,990,5,,
629,2645,5,988,4,,
630,2648,4,990,5,,
631,2653,5,991,3,,
632,2611,5,980,4,,
633,2662,5,995,4,,
634,2649,4,992,3,,
635,2620,8,979,4,,
636,2655,6,993,5,,
637,2626,5,985,4,,
638,2666,4,1000,4,,
639,2653,4,992,4,,
640,2641,4,992,4,,
641,2635,5,988,6,,
642,2612,5,980,7,,
643,2666,5,995,4,,
644,2657,5,994,3,,
645,2639,5,988,3,,
646,2646,4,987,4,,
647,2651,4,991,3,,
648,2661,4,984,3,,
649,2641,4,990,3,,
650,2643,4,991,4,,
651,2643,4,988,4,,
652,2647,6,990,5,,
653,2653,5,990,4,,
654,2666,4,987,4,,
655,2648,4,989,4,,
656,2663,5,985,3,,
657,2655,4,994,4,,
658,2639,4,990,4,,
659,2665,4,986,4,,
660,2654,6,994,5,,
661,2636,4,987,0,,
662,2666,5,988,4,,
663,2659,5,995,4,,
664,2651,5,991,4,,
665,2641,4,988,4,,
666,2633,8,987,3,,
667,2616,5,980,4,,
668,2622,6,978,1,,
669,2673,5,986,4,,
670,2666,4,996,4,,
671,2664,4,995,3,,
672,2667,4,998,2,,
673,2632,4,989,4,,
674,2646,4,991,3,,
675,2645,5,988,3,,
676,2647,5,991,4,,
677,2647,4,989,4,,
678,2644,4,990,4,,
679,2645,6,989,4,,
680,2648,4,991,4,,
681,2646,6,989,2,,
682,2648,4,991,4,,
683,2646,5,988,4,,
684,2648,1,991,4,,
685,2648,5,989,3,,
686,2646,5,990,4,,
687,2647,6,992,0,,
688,2647,5,990,3,,
689,2648,6,991,4,,
690,2647,5,990,4,,
691,2647,4,990,4,,
692,2648,5,991,4,,
693,2648,5,990,3,,
694,2647,5,989,3,,
695,2648,6,991,5,,
696,2647,5,989,3,,
697,2646,5,989,5,,
698,2646,5,990,4,,
699,2646,5,988,4,,
700,2646,4,991,4,,
701,2647,5,990,4,,
702,2645,5,990,4,,
703,2648,6,990,5,,
704,2647,4,990,4,,
705,2646,5,990,3,,
706,2646,5,991,6,,
707,2645,4,995,6,,
708,2643,4,990,4,,
709,2645,6,994,5,,
710,2644,5,990,4,,
711,2650,5,990,4,,
712,2645,5,990,4,,
713,2647,6,991,3,,
714,2648,5,990,0,,
715,2647,4,990,4,,
716,2644,5,990,4,,
717,2649,6,991,5,,
718,2648,4,990,4,,
719,2647,5,990,4,,
720,2643,4,989,4,,
721,2650,5,990,4,,
722,2643,5,989,3,,
723,2646,5,989,4,,
724,2646,4,989,4,,
725,2649,6,991,5,,
726,2644,5,990,4,,
727,2646,5,993,7,,
728,2643,4,990,2,,
729,2645,4,991,3,,
730,2646,4,991,3,,
731,2645,5,990,4,,
732,2646,5,993,4,,
733,2649,6,990,5,,
734,2647,5,990,4,,
735,2644,5,988,0,,
736,2649,4,992,4,,
737,2647,4,989,4,,
738,2646,4,991,4,,
739,2647,4,992,4,,
740,2647,5,990,2,,
741,2648,4,990,3,,
742,2645,5,988,4,,
743,2643,5,989,3,,
744,2644,5,990,4,,
745,2646,6,991,6,,
746,2643,5,988,4,,
747,2644,4,991,4,,
748,2645,4,989,4,,
749,2644,6,989,3,,
750,2648,5,990,3,,
751,2644,5,990,4,,
752,2644,5,989,4,,
753,2648,6,991,5,,
754,2648,4,991,4,,
755,2643,4,990,4,,
756,2646,5,991,2,,
757,2644,5,989,3,,
758,2645,0,988,4,,
759,2645,5,991,4,,
760,2646,5,990,3,,
761,2647,6,992,4,,
762,2645,4,991,4,,
763,2644,6,990,4,,
764,2647,1,991,3,,
765,2645,5,990,3,,
766,2649,6,990,5,,
767,2644,5,989,4,,
768,2646,5,990,5,,
769,2647,4,991,3,,
770,2646,5,991,4,,
771,2644,4,990,5,,
772,2648,5,991,4,,
773,2643,4,991,3,,
774,2644,6,991,4,,
775,2643,4,991,3,,
776,2644,5,988,4,,
777,2644,6,988,4,,
778,2647,6,989,4,,
779,2645,5,989,4,,
780,2646,6,991,4,,
781,2643,6,990,4,,
782,2646,6,989,4,,
783,2644,4,991,4,,
784,2646,4,989,3,,
785,2644,4,990,4,,
786,2646,4,990,4,,
787,2643,4,989,3,,
