RECORDED=2021-01-07--11:47:21
radicl VERSION=0.4.2
FIRMWARE REVISION=1.45
HARDWARE REVISION=2
MODEL NUMBER=3
,Sensor1,Sensor2,Sensor3,Sensor4,acc,depth
0,0,0,0,0,-1.17708,-14.85595703125
1,0,0,0,0,-1.00488,-17.19970703125
2,0,0,0,0,-0.876,-18.359375
3,0,0,0,0,-0.8108399999999999,-18.45703125
4,0,0,0,0,-0.7761,-18.59130859375
5,3,2,3,4,-0.74562,-19.091796875
6,2,2,2,4,-0.7156199999999999,-20.10498046875
7,2,2,2,5,-0.6936599999999999,-20.4345703125
8,2,3,2,4,-0.59628,-20.44677734375
9,4,3,3,6,-0.5082599999999999,-20.8740234375
10,3,2,3,4,-0.4476,-21.4599609375
11,3,3,2,5,-0.37866,-22.27783203125
12,3,4,4,8,-0.1758,-22.998046875
13,3,3,3,3,-0.09222,-23.69384765625
14,2,3,3,5,-0.13679999999999998,-24.47509765625
15,2,2,2,4,-0.11652,-25.13427734375
16,4,3,3,6,-0.0711,-25.8544921875
17,3,2,2,5,-0.06228,-26.55029296875
18,3,2,3,5,-0.04104,-27.18505859375
19,3,2,2,4,0.00048,-27.79541015625
20,3,4,2,5,0.01662,-28.4423828125
21,4,4,4,6,-0.0037199999999999998,-28.9794921875
22,2,3,3,5,-0.03407999999999999,-29.541015625
23,3,0,1,5,-0.06426,-30.18798828125
24,2,2,3,4,-0.11069999999999999,-30.76171875
25,2,0,0,4,-0.23285999999999998,-31.201171875
26,4,2,2,4,-0.35753999999999997,-31.70166015625
27,3,2,2,4,-0.45936,-32.177734375
28,2,2,2,4,-0.62022,-32.77587890625
29,2,2,3,5,-0.78474,-33.251953125
30,2,2,2,4,-0.9396,-33.740234375
31,2,2,2,4,-1.1081999999999999,-34.33837890625
32,3,2,2,4,-1.27884,-34.82666015625
33,2,3,2,5,-1.46868,-35.16845703125
34,2,2,2,5,-1.67814,-35.46142578125
35,2,3,2,4,-1.87638,-35.6689453125
36,2,3,2,5,-1.9655999999999998,-35.87646484375
37,2,2,3,4,-1.9655999999999998,-36.0595703125
38,10,2,4,5,-1.9655999999999998,-36.07177734375
39,148,2,65,5,-1.9655999999999998,-36.14501953125
40,806,3,340,6,-1.9655999999999998,-36.21826171875
41,2293,4,887,4,-1.9655999999999998,-35.94970703125
42,2581,5,970,4,-1.9655999999999998,-35.55908203125
43,2615,5,981,4,-1.9655999999999998,-35.11962890625
44,2631,5,985,4,-1.9655999999999998,-34.80224609375
45,2635,4,986,4,-1.9655999999999998,-34.53369140625
46,2642,5,990,4,-1.9655999999999998,-34.11865234375
47,2635,4,988,4,-1.9655999999999998,-33.87451171875
48,2642,4,990,4,-1.9346999999999999,-33.63037109375
49,2640,4,987,4,-1.80828,-33.38623046875
50,2639,4,987,4,-1.71774,-33.1298828125
51,2639,4,989,4,-1.6356,-32.8125
52,2645,5,990,4,-1.5414,-32.65380859375
53,2643,5,990,4,-1.4704799999999998,-32.51953125
54,2634,5,989,4,-1.3982999999999999,-32.32421875
55,2653,5,995,4,-1.27032,-32.09228515625
56,2659,4,997,3,-1.14684,-31.8603515625
57,2650,5,994,3,-1.0176,-31.50634765625
58,2643,5,991,4,-0.89862,-31.1279296875
59,2636,5,990,4,-0.81102,-30.74951171875
60,2637,4,991,4,-0.75654,-30.31005859375
61,2646,5,992,4,-0.70608,-30.01708984375
62,2656,4,995,3,-0.5850599999999999,-30.01708984375
63,2639,0,990,4,-0.49349999999999994,-29.99267578125
64,2651,4,994,2,-0.38034,-29.833984375
65,2649,5,991,4,-0.25493999999999994,-29.67529296875
66,2647,5,990,4,-0.13338,-29.57763671875
67,2647,4,990,4,-0.01146,-29.345703125
68,2647,5,990,3,0.12192,-29.13818359375
