RECORDED=2021-01-07--11:55:20
radicl VERSION=0.4.2
FIRMWARE REVISION=1.45
HARDWARE REVISION=2
MODEL NUMBER=3
,Sensor1,Sensor2,Sensor3,acceleration,depth
0,3918,927,1796,-0.88536,-2.783203125
1,3915,927,1798,-0.8852014285714286,-2.7814250700280114
2,3916,927,1795,-0.8850428571428571,-2.7796470150560224
3,3915,927,1796,-0.8848842857142857,-2.777868960084034
4,3918,925,1796,-0.8847257142857143,-2.776090905112045
5,3917,928,1801,-0.8845671428571429,-2.7743128501400562
6,3914,924,1796,-0.8844085714285714,-2.7725347951680672
7,3923,920,1801,-0.88425,-2.7707567401960786
8,3916,926,1797,-0.8840914285714285,-2.7689786852240896
9,3918,931,1798,-0.8839328571428571,-2.767200630252101
10,3915,925,1795,-0.8837742857142856,-2.765422575280112
11,3917,926,1795,-0.8836157142857143,-2.7636445203081235
12,3914,925,1796,-0.8834571428571428,-2.7618664653361344
13,3916,925,1796,-0.8832985714285714,-2.760088410364146
14,3914,926,1796,-0.8831399999999999,-2.758310355392157
15,3913,926,1796,-0.8814814285714285,-2.7565323004201683
16,3915,927,1796,-0.8798228571428571,-2.7547542454481793
17,3915,926,1794,-0.8781642857142856,-2.7529761904761907
18,3915,925,1796,-0.8765057142857142,-2.7511981355042017
19,3909,925,1793,-0.8748471428571428,-2.749420080532213
20,3912,926,1796,-0.8731885714285714,-2.747642025560224
21,3914,928,1796,-0.8715299999999999,-2.7458639705882355
22,3913,924,1796,-0.8698714285714285,-2.7440859156162465
23,3915,926,1794,-0.8682128571428571,-2.742307860644258
24,3915,928,1796,-0.8665542857142857,-2.740529805672269
25,3916,926,1796,-0.8648957142857143,-2.7387517507002803
26,3915,926,1797,-0.8632371428571428,-2.7369736957282913
27,3915,926,1795,-0.8615785714285714,-2.7351956407563027
28,3913,925,1794,-0.85992,-2.7334175857843137
29,3915,927,1796,-0.85658,-2.731639530812325
30,3912,924,1796,-0.85324,-2.729861475840336
31,3914,925,1799,-0.8499,-2.7280834208683475
32,3909,926,1795,-0.84656,-2.7263053658963585
33,3912,925,1796,-0.84322,-2.72452731092437
34,3914,923,1796,-0.83988,-2.722749255952381
35,3911,927,1793,-0.83654,-2.7209712009803924
36,3916,925,1797,-0.8332,-2.7191931460084033
37,3915,925,1791,-0.82986,-2.7174150910364148
38,3916,928,1797,-0.82652,-2.7156370360644257
39,3911,926,1794,-0.82318,-2.713858981092437
40,3913,925,1795,-0.81984,-2.712080926120448
41,3914,925,1796,-0.8165,-2.7103028711484596
42,3915,926,1798,-0.81316,-2.7085248161764706
43,3913,926,1796,-0.80982,-2.706746761204482
44,3913,923,1796,-0.8086714285714286,-2.704968706232493
45,3917,928,1798,-0.8075228571428571,-2.7031906512605044
46,3916,928,1796,-0.8063742857142857,-2.7014125962885154
47,3911,926,1796,-0.8052257142857142,-2.699634541316527
48,3915,925,1795,-0.8040771428571428,-2.697856486344538
49,3918,929,1797,-0.8029285714285713,-2.696078431372549
50,3908,927,1794,-0.8017799999999999,-2.69430037640056
51,3917,928,1796,-0.8006314285714285,-2.6925223214285716
52,3916,925,1796,-0.799482857142857,-2.6907442664565826
53,3916,925,1796,-0.7983342857142857,-2.688966211484594
54,3911,924,1798,-0.7971857142857142,-2.687188156512605
55,3915,926,1793,-0.7960371428571428,-2.6854101015406164
56,3913,925,1794,-0.7948885714285713,-2.6836320465686274
57,3915,925,1797,-0.7937399999999999,-2.681853991596639
58,3918,923,1794,-0.7928785714285713,-2.68007593662465
59,3915,925,1793,-0.7920171428571428,-2.6782978816526612
60,3911,927,1794,-0.7911557142857142,-2.6765198266806722
61,3913,923,1796,-0.7902942857142856,-2.6747417717086837
62,3915,926,1796,-0.789432857142857,-2.6729637167366946
63,3914,928,1794,-0.7885714285714285,-2.671185661764706
64,3914,926,1791,-0.7877099999999999,-2.669407606792717
65,3916,920,1795,-0.7868485714285715,-2.6676295518207285
66,3913,924,1793,-0.7859871428571429,-2.6658514968487395
67,3915,926,1795,-0.7851257142857143,-2.664073441876751
68,3915,925,1794,-0.7842642857142857,-2.662295386904762
69,3913,924,1793,-0.7834028571428572,-2.6605173319327733
70,3915,925,1794,-0.7825414285714286,-2.6587392769607843
71,3913,923,1794,-0.78168,-2.6569612219887957
72,3916,924,1793,-0.778072,-2.6551831670168067
73,3914,925,1794,-0.774464,-2.653405112044818
74,3916,925,1794,-0.770856,-2.651627057072829
