RECORDED=2021-01-07--11:53:45
radicl VERSION=0.4.2
FIRMWARE REVISION=1.45
HARDWARE REVISION=2
MODEL NUMBER=3
,Sensor1,Sensor2,Sensor3,acceleration,depth
0,3905,917,1757,-0.86454,-0.2685546875
1,3904,918,1758,-0.8581371428571428,-0.2683078541475184
2,3904,915,1757,-0.8517342857142857,-0.26806102079503674
3,3903,916,1757,-0.8453314285714285,-0.26781418744255514
4,3905,917,1759,-0.8389285714285714,-0.26756735409007354
5,3904,914,1757,-0.8325257142857142,-0.26732052073759194
6,3902,917,1758,-0.826122857142857,-0.2670736873851103
7,3904,916,1755,-0.81972,-0.2668268540326287
8,3902,917,1757,-0.8133171428571428,-0.2665800206801471
9,3903,917,1756,-0.8069142857142857,-0.2663331873276654
10,3903,916,1757,-0.8005114285714285,-0.2660863539751838
11,3908,916,1757,-0.7941085714285714,-0.2658395206227022
12,3902,916,1756,-0.7877057142857142,-0.26559268727022056
13,3905,917,1754,-0.7813028571428571,-0.26534585391773896
14,3905,916,1758,-0.7748999999999999,-0.26509902056525736
15,3900,918,1756,-0.7701479999999999,-0.26485218721277576
16,3906,917,1757,-0.765396,-0.2646053538602941
17,3905,915,1758,-0.760644,-0.2643585205078125
18,3901,917,1757,-0.7558919999999999,-0.2641116871553309
19,3902,918,1758,-0.7511399999999999,-0.26386485380284924
20,3902,916,1756,-0.7463879999999999,-0.26361802045036764
21,3907,915,1755,-0.741636,-0.26337118709788604
22,3903,918,1758,-0.736884,-0.26312435374540444
23,3902,916,1755,-0.732132,-0.2628775203929228
24,3898,916,1756,-0.72738,-0.2626306870404412
25,3904,915,1757,-0.722628,-0.2623838536879596
26,3903,915,1755,-0.717876,-0.2621370203354779
27,3903,917,1755,-0.713124,-0.2618901869829963
28,3903,915,1757,-0.708372,-0.2616433536305147
29,3903,917,1756,-0.70362,-0.26139652027803306
30,3902,916,1755,-0.69828,-0.26114968692555146
31,3902,915,1756,-0.69294,-0.26090285357306986
32,3904,915,1756,-0.6876,-0.26065602022058826
33,3905,917,1762,-0.68226,-0.2604091868681066
34,3906,916,1756,-0.67692,-0.260162353515625
35,3903,915,1758,-0.67158,-0.2599155201631434
36,3901,917,1755,-0.6662399999999999,-0.25966868681066174
37,3904,914,1756,-0.6609,-0.25942185345818014
38,3905,914,1756,-0.65556,-0.25917502010569854
39,3904,914,1755,-0.65022,-0.25892818675321694
40,3901,916,1757,-0.64488,-0.2586813534007353
41,3903,916,1756,-0.63954,-0.2584345200482537
42,3906,915,1758,-0.6342,-0.2581876866957721
43,3901,915,1759,-0.62886,-0.2579408533432904
44,3906,914,1758,-0.626472,-0.2576940199908088
45,3904,916,1755,-0.624084,-0.2574471866383272
46,3901,917,1756,-0.621696,-0.25720035328584556
47,3905,914,1756,-0.619308,-0.25695351993336396
48,3900,916,1758,-0.61692,-0.25670668658088236
49,3901,916,1756,-0.614532,-0.25645985322840076
50,3904,913,1755,-0.612144,-0.2562130198759191
51,3902,915,1756,-0.609756,-0.2559661865234375
52,3902,914,1755,-0.607368,-0.2557193531709559
53,3901,915,1755,-0.60498,-0.25547251981847424
54,3903,914,1756,-0.602592,-0.25522568646599264
55,3903,913,1755,-0.600204,-0.25497885311351104
56,3899,913,1754,-0.597816,-0.25473201976102944
57,3904,915,1757,-0.5954280000000001,-0.2544851864085478
58,3905,914,1757,-0.59304,-0.2542383530560662
59,3901,914,1755,-0.5912000000000001,-0.2539915197035846
60,3906,916,1758,-0.58936,-0.2537446863511029
61,3903,914,1755,-0.58752,-0.2534978529986213
62,3903,913,1756,-0.58568,-0.2532510196461397
63,3901,915,1756,-0.58384,-0.25300418629365806
64,3901,912,1756,-0.582,-0.25275735294117646
65,3902,915,1755,-0.58016,-0.25251051958869486
66,3904,914,1756,-0.57832,-0.25226368623621326
67,3901,911,1754,-0.57648,-0.2520168528837316
68,3903,913,1756,-0.5746399999999999,-0.25177001953125
69,3903,915,1755,-0.5728,-0.2515231861787684
70,3905,914,1756,-0.5709599999999999,-0.25127635282628674
71,3903,915,1755,-0.56912,-0.25102951947380514
72,3903,915,1755,-0.5672799999999999,-0.25078268612132354
73,3903,915,1754,-0.5654399999999999,-0.25053585276884194
74,3905,913,1756,-0.5631257142857142,-0.2502890194163603
75,3902,914,1754,-0.5608114285714285,-0.2500421860638787
76,3902,914,1754,-0.5584971428571428,-0.24979535271139705
