RECORDED=2021-01-07--11:48:13
radicl VERSION=0.4.2
FIRMWARE REVISION=1.45
HARDWARE REVISION=2
MODEL NUMBER=3
,Sensor1,Sensor2,Sensor3,acceleration,depth
0,3962,781,1667,-0.8798999999999999,-0.29296875
1,3963,779,1672,-0.8777639999999999,-0.29471261160714285
2,3965,779,1673,-0.875628,-0.2964564732142857
3,3967,778,1673,-0.8734919999999999,-0.29820033482142855
4,3966,779,1676,-0.8713559999999999,-0.29994419642857145
5,3964,779,1672,-0.8692199999999999,-0.3016880580357143
6,3965,778,1672,-0.867084,-0.30343191964285715
7,3962,777,1670,-0.8649479999999999,-0.30517578125
8,3965,778,1671,-0.8628119999999999,-0.30691964285714285
9,3963,776,1671,-0.8606759999999999,-0.3086635044642857
10,3967,776,1671,-0.85854,-0.31040736607142855
11,3966,778,1674,-0.8564039999999999,-0.31215122767857145
12,3962,777,1671,-0.8542679999999999,-0.3138950892857143
13,3966,777,1672,-0.8521319999999999,-0.31563895089285715
14,3965,778,1671,-0.849996,-0.3173828125
15,3966,776,1671,-0.84786,-0.31912667410714285
16,3964,777,1671,-0.84066,-0.3208705357142857
17,3965,778,1668,-0.83346,-0.32261439732142855
18,3966,780,1670,-0.82626,-0.32435825892857145
19,3966,778,1672,-0.8190599999999999,-0.3261021205357143
20,3963,779,1672,-0.8118599999999999,-0.32784598214285715
21,3967,777,1671,-0.8046599999999999,-0.32958984375
22,3963,776,1671,-0.79746,-0.33133370535714285
23,3967,778,1671,-0.79026,-0.3330775669642857
24,3967,777,1673,-0.78306,-0.3348214285714286
25,3966,777,1671,-0.77586,-0.33656529017857145
26,3963,778,1672,-0.7686599999999999,-0.3383091517857143
27,3965,776,1670,-0.7614599999999999,-0.34005301339285715
28,3966,777,1670,-0.7542599999999999,-0.341796875
29,3961,777,1668,-0.74706,-0.34354073660714285
30,3967,778,1668,-0.73986,-0.3452845982142857
31,3966,778,1672,-0.7348279999999999,-0.3470284598214286
32,3959,778,1671,-0.729796,-0.34877232142857145
33,3965,777,1670,-0.724764,-0.3505161830357143
34,3964,777,1671,-0.7197319999999999,-0.35226004464285715
35,3964,778,1670,-0.7147,-0.35400390625
36,3967,781,1674,-0.709668,-0.35574776785714285
37,3963,778,1670,-0.7046359999999999,-0.3574916294642857
